car_id,source_url,original_title,original_price_eur,original_year,original_mileage_km,original_fuel,original_transmission,original_seller_type,original_detail_brand,original_detail_model,original_detail_doors,original_detail_seats,original_detail_description,original_raw_text,ai_car_name,ai_brand,ai_model,ai_version_or_trim,ai_year,ai_first_registration,ai_price_eur,ai_mileage_km,ai_fuel_type,ai_transmission,ai_engine_capacity_l,ai_engine_description,ai_horsepower_hp,ai_fiscal_power_cv,ai_doors,ai_seats,ai_critair,ai_euro_emission_class,ai_seller_type,ai_location,ai_is_professional_seller,ai_is_accident_vehicle,ai_is_export_only,ai_is_professional_only_sale,ai_has_non_guaranteed_mileage,ai_has_engine_warning_or_mechanical_warning,ai_control_technique_status,ai_warranty_months,ai_maintenance_history_status,ai_recent_repairs,ai_known_risks,ai_important_missing_info,ai_fuel_consumption_city_l_100km,ai_fuel_consumption_road_l_100km,ai_fuel_consumption_mixed_l_100km,ai_estimated_annual_running_cost_level,ai_resale_ease_score_1_to_5,ai_spare_parts_availability_score_1_to_10,ai_reliability_score_0_to_25,ai_buyer_suitability_score_0_to_20,ai_price_value_score_0_to_15,ai_zfe_critair_score_0_to_10,ai_running_cost_score_0_to_10,ai_resale_score_0_to_10,ai_parts_score_0_to_10,ai_total_score_0_to_100,ai_recommendation,ai_short_reason,ai_questions_to_ask_seller,ai_confidence_0_to_1
Dacia_Spring_65_extr_me_de_2023_avec_26_908_kms_s_3187731145,https://www.leboncoin.fr/ad/voitures/3187731145,Dacia Spring 65 extrême de 2023 avec 26 908 kms,3990,2023,26908,Électrique,Automatique,Professionnel,DACIA,Spring,5.0,4,"Vend Dacia spring 65ch extreme du 08/2023 avec seulement 26 908 kms ⚠️ VEHICULE ACCIDENTE ⚠️ ⚠️ PROCEDURE VE - SUIVI EXPERT ⚠️ ❗️VENTE UNIQUEMENT À PROFESSIONNEL OU EXPORT❗️ ✅ MOTEUR BOÎTE OK ✅ ✅ AIR BAG CEINTURES OK ✅ Cote : 9 800€ Prix : 3 990€ Dégâts : pare choc avant, aile avant gauche, triangle avant gauche Options : climatisation, GPS, régulateur et limiteur de vitesse, radar de recul, commande au volant, vitres Av électriques, etc .. Possibilité de livraison dans toute la France Pour plus de renseignements nous contacter Nos horaires sont 08h-12h, 14h-19h du lundi au vendredi Merci de respecter ces horaires Tapez dans la barre de recherche PIECES AUTO 71 afin de voir tous nos véhicules en vente Voir moins","Dacia Spring 65 extrême de 2023 avec 26 908 kms 3 990 € Prix: 3 990 €. Pro Vendeur professionnel. Année 2023 Kilométrage 26908 km Énergie Électrique Boîte de vitesse Automatique Année: ""2023"". Kilométrage: ""26908 km"". Énergie: ""Électrique"". Boîte de vitesse: ""Automatique"" PIECES AUTO'71 Le Creusot 71200 Située à Le Creusot 71200.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,only_if_checked,API evaluation failed after retries.,Manual review required.,0
Citro_n_ami_electric_8_cv_boite_automatique_s_3135325149,https://www.leboncoin.fr/ad/voitures/3135325149,Citroën ami electric 8 cv boite automatique,5990,2021,16500,Électrique,Automatique,Professionnel,CITROEN,Ami,2.0,2,"CITROËN AMI ELECTRIC 8 CV, DU 26/03/2021, LE CONTROLE TECHNIQUE SERA EFFECTUE LORS DE LA VENTE, 2 PORTES, 2 PLACES. -Port de chargement USB avant, -Essuie-glaces, -Phares feux de croisement LED. -feux de route LED, -Feux à LED, -Récupération d énergie au freinage Voir moins","Citroën ami electric 8 cv boite automatique 5 990 € Prix: 5 990 €. Pro Vendeur professionnel. Année 2021 Kilométrage 16500 km Énergie Électrique Boîte de vitesse Automatique Année: ""2021"". Kilométrage: ""16500 km"". Énergie: ""Électrique"". Boîte de vitesse: ""Automatique"" APB Ruffey-lès-Beaune 21200 Située à Ruffey-lès-Beaune 21200.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,only_if_checked,API evaluation failed after retries.,Manual review required.,0
Dacia_Spring_65_extr_me_de_2023_avec_26_908_kms_s_3187731145,https://www.leboncoin.fr/ad/voitures/3187731145,Dacia Spring 65 extrême de 2023 avec 26 908 kms,3990,2023,26908,Électrique,Automatique,Professionnel,DACIA,Spring,5.0,4,"Vend Dacia spring 65ch extreme du 08/2023 avec seulement 26 908 kms ⚠️ VEHICULE ACCIDENTE ⚠️ ⚠️ PROCEDURE VE - SUIVI EXPERT ⚠️ ❗️VENTE UNIQUEMENT À PROFESSIONNEL OU EXPORT❗️ ✅ MOTEUR BOÎTE OK ✅ ✅ AIR BAG CEINTURES OK ✅ Cote : 9 800€ Prix : 3 990€ Dégâts : pare choc avant, aile avant gauche, triangle avant gauche Options : climatisation, GPS, régulateur et limiteur de vitesse, radar de recul, commande au volant, vitres Av électriques, etc .. Possibilité de livraison dans toute la France Pour plus de renseignements nous contacter Nos horaires sont 08h-12h, 14h-19h du lundi au vendredi Merci de respecter ces horaires Tapez dans la barre de recherche PIECES AUTO 71 afin de voir tous nos véhicules en vente Voir moins","Dacia Spring 65 extrême de 2023 avec 26 908 kms 3 990 € Prix: 3 990 €. Pro Vendeur professionnel. Année 2023 Kilométrage 26908 km Énergie Électrique Boîte de vitesse Automatique Année: ""2023"". Kilométrage: ""26908 km"". Énergie: ""Électrique"". Boîte de vitesse: ""Automatique"" PIECES AUTO'71 Le Creusot 71200 Située à Le Creusot 71200.",Dacia Spring 65 extrême,DACIA,Spring,65 extrême,2023,,3990,26908,Électrique,Automatique,,Electric motor 65 hp,65,,5,4,,,Professionnel,Le Creusot 71200,True,True,True,True,False,False,,,,,"Accident damage front bumper, left front wing, left front triangle; VE procedure in progress; sale only professional or export",No Crit'Air and emission class detail; unknown warranty and maintenance history,,,,low,1,6,5,3,5,2,7,2,6,38,reject,"Accident vehicle, VE procedure, sale limited to professional or export, low resale and buyer suitability scores",Is any warranty provided? Details about battery health and warranty? Reason for VE procedure? Is professional or export sale strict?,0.9
Citro_n_ami_electric_8_cv_boite_automatique_s_3135325149,https://www.leboncoin.fr/ad/voitures/3135325149,Citroën ami electric 8 cv boite automatique,5990,2021,16500,Électrique,Automatique,Professionnel,CITROEN,Ami,2.0,2,"CITROËN AMI ELECTRIC 8 CV, DU 26/03/2021, LE CONTROLE TECHNIQUE SERA EFFECTUE LORS DE LA VENTE, 2 PORTES, 2 PLACES. -Port de chargement USB avant, -Essuie-glaces, -Phares feux de croisement LED. -feux de route LED, -Feux à LED, -Récupération d énergie au freinage Voir moins","Citroën ami electric 8 cv boite automatique 5 990 € Prix: 5 990 €. Pro Vendeur professionnel. Année 2021 Kilométrage 16500 km Énergie Électrique Boîte de vitesse Automatique Année: ""2021"". Kilométrage: ""16500 km"". Énergie: ""Électrique"". Boîte de vitesse: ""Automatique"" APB Ruffey-lès-Beaune 21200 Située à Ruffey-lès-Beaune 21200.",Citroën Ami Electric,Citroën,Ami,,2021,,5990,16500,Électrique,Automatique,,Electric motor,,8,2,2,1,,Professionnel,Ruffey-lès-Beaune 21200,True,False,False,False,False,False,To be done at sale,,,,"Limited range typical of Ami electric, not suitable for long trips","Battery range and warranty details missing, Crit'Air assumed 1 for electric",,,,low,3,7,17,12,10,9,9,6,7,77,consider,"Very economical and low running cost electric city car, professional sale with guaranteed mileage, but limited range and 2 seats/2 doors limit suitability for frequent long trips. Missing battery details.",What is the battery range and warranty? Any history of battery degradation? Is there an option for battery leasing or ownership? Exact first registration date?,0.85
Vends_Citro_n_AMI_s_3190942347,https://www.leboncoin.fr/ad/voitures/3190942347,Vends Citroën AMI,5850,2021,17500,Électrique,Automatique,,CITROEN,Autre,2.0,1,"Vens Citroën AMI, très bon état. Toujours restée à l'abri dans le garage. Aucun accident . 17500 km année 2021 5850€ Voir moins","Vends Citroën AMI 5 850 € Prix: 5 850 €. Paiement sécurisé Année 2021 Kilométrage 17500 km Énergie Électrique Boîte de vitesse Automatique Année: ""2021"". Kilométrage: ""17500 km"". Énergie: ""Électrique"". Boîte de vitesse: ""Automatique"" Montceau-les-Mines 71300 Située à Montceau-les-Mines 71300.",Citroën AMI,Citroën,AMI,,2021,,5850,17500,Électrique,Automatique,,Electric motor,,,2,1,2,,,Montceau-les-Mines 71300,,False,False,False,False,False,,,,,"Limited range, very small urban vehicle, only 1 seat, 2 doors","Battery health, vehicle trim/version, first registration date, detailed power, fuel consumption data, warranty and maintenance history missing",,,,low,2,5,15,8,10,9,9,4,5,65,only_if_checked,"Electric microcar with very limited seating and doors, low running cost but limited use for regular travels; unknown battery status; 2 seats and 2 doors limit usability for most buyers; suitability for PhD student is limited; good Crit'Air rating; price somewhat high for the category.",What is the battery health and warranty? Is full maintenance history available? Can vehicle be registered as 2 seats? Are there any hidden faults? Specific trim/version? Is the vehicle suitable for longer trips in France and Europe?,0.7
Citro_n_Ami_s_3189394257,https://www.leboncoin.fr/ad/voitures/3189394257,Citroën Ami,5490,2021,26000,Électrique,Automatique,,CITROEN,Autre,2.0,1,"Je vends ma Citroën Ami, un véhicule électrique compact et pratique. - Marque : Citroën - Modèle : Ami - Année : 2021 - Kilométrage : 26 000 km - Boîte de vitesses : Automatique - Carrosserie : Autre - Nombre de portes : 2 - Nombre de sièges : 1 - Couleur : Gris Offres fantaisistes s abstenir. Voir moins","Citroën Ami 5 490 € Prix: 5 490 €. Paiement sécurisé Année 2021 Kilométrage 26000 km Énergie Électrique Boîte de vitesse Automatique Année: ""2021"". Kilométrage: ""26000 km"". Énergie: ""Électrique"". Boîte de vitesse: ""Automatique"" Verzé 71960 Située à Verzé 71960.",Citroën Ami,Citroën,Ami,,2021,,5490,26000,Electric,Automatic,,"Electric motor, city electric quadricycle",,,2,1,1,,,Verzé 71960,,False,False,False,False,False,,,,,"Very limited range and 1 seat limit reduce use cases, not suitable for long trips or multiple passengers","Battery health and warranty details missing, 2 doors and 1 seat reduce practicality; CritAir estimated based on electric and year",0.0,0.0,0.0,low,3,7,15,7,8,9,9,6,7,68,only_if_checked,Electric city quadricycle with limited seats and doors; good low running cost but limited for PhD student needs; check battery and practical use,What is the current battery health and warranty? Is the battery owned or leased? Are there any usage limitations due to 1-seat configuration? Any previous damages or repairs?,0.8
OPEL_CORSA_1_2_i_TURBO_100_CV_VENDU_A_MARCHAND_s_3165990559,https://www.leboncoin.fr/ad/voitures/3165990559,OPEL CORSA 1.2 i TURBO 100 CV VENDU A MARCHAND,6000,2020,72700,Essence,Manuelle,Professionnel,OPEL,Corsa,5.0,5,"* OPEL CORSA * 1.2 i TURBO 100 CV * ANNÉE : 2020 * BOITE 6 MANUELLE * 72 700 Km * VÉHICULE VENDU DANS L'ÉTAT SANS GARANTIE * VENDU A MARCHAND PROFESSIONNEL * VITRE ELECTRIQUE * DIRECTION ASSISTE * ISOFIX * CLIM * BLUETOOTH * GPS * RADAR DE RECUL * COMMANDE AU VOLANT * RÉGULATEUR LIMITEUR VITESSE **AGRÉÉ ET HABILITÉ SIV PAR L'ETAT, S'OCCUPE DE VOS DÉMARCHES CARTE GRISE ET IMMATRICULATION. ***** Prix : 6 000 € PROBLÈME PRESSION D'HUILE ***REÇOIT SUR RENDEZ-VOUS ( LIVRAIOSSIBLE SOUS CONDITIONS ) € € € € € € NOUS RACHETONS VOTRE VOITURE: ESTIMATION RAPIDE ET PAIEMENT IMMÉDIAT € € € € € AUTOS BDV 33 RUE DE SOISSONS 71300 MONTCEAU LES MINES OUVERT DU LUNDI AU SAMEDI DE 9H A 12H ET 14H A 19H GARE TGV MONTCEAU-LE CREUSOT A 15MIN POSSIBILITÉ DE VOUS RÉCUPÉRER A LA GARE ACHATS TOUS TYPES DE VÉHICULES HS / EN PANNE / PROBLÈME Voir moins","OPEL CORSA 1.2 i TURBO 100 CV VENDU A MARCHAND 6 000 € Prix: 6 000 €. Pro Vendeur professionnel. Année 2020 Kilométrage 72700 km Énergie Essence Boîte de vitesse Manuelle Année: ""2020"". Kilométrage: ""72700 km"". Énergie: ""Essence"". Boîte de vitesse: ""Manuelle"" Montceau-les-Mines 71300 Le Bois du Verne Située à Montceau-les-Mines 71300 Le Bois du Verne.",Opel Corsa 1.2 i Turbo 100 CV,Opel,Corsa,,2020,,6000,72700,petrol,manual,1.2,"1.2 i Turbo, 100 CV",100,,5,5,2,,professionnel,Montceau-les-Mines 71300 Le Bois du Verne,True,False,False,False,False,True,,,,Problème pression d'huile indiqué,"Known oil pressure problem, possible engine risk","No info on first registration date, control technique, or warranty",6.0,4.5,5.2,medium,3,8,10,12,10,7,7,6,8,77,only_if_checked,Good model and year but serious oil pressure problem; sold as-is by professional. Needs full mechanical check before buying.,Has the oil pressure issue been diagnosed or repaired? Is control technique up to date? Is warranty or return possible?,0.85
PEUGEOT_208_essence_68cv_s_3173242070,https://www.leboncoin.fr/ad/voitures/3173242070,PEUGEOT 208 essence 68cv,5750,2018,62000,Essence,Manuelle,,PEUGEOT,208,5.0,5,"A saisir : => Peugeot 208 Essence 1.2 Puretech 68 cv version Like de 2018 👍 Une citadine fiable et économique 5 places, 5 portes, 4cv 62 000km CT OK à jour (aucun défauts) Prochaine révision dans 18 000km. Aucun frais à prévoir Contrôle technique OK -1 mois ✅ OPTIONS ET EQUIPEMENTS : - Vitres électriques - Direction assistée - Ouverture / Fermeture centralisé - RADIO CD - Régulateur de vitesse - Climatisation Voir moins","PEUGEOT 208 essence 68cv 5 750 € Prix: 5 750 €. Pack Sérénité Année 2018 Kilométrage 62000 km Énergie Essence Boîte de vitesse Manuelle Année: ""2018"". Kilométrage: ""62000 km"". Énergie: ""Essence"". Boîte de vitesse: ""Manuelle"" Le Creusot 71200 Située à Le Creusot 71200.",Peugeot 208 Like,Peugeot,208,Like,2018,,5750,62000,Essence,Manuelle,1.2,1.2 PureTech 68 cv,68,4,5,5,2,,,Le Creusot 71200,,False,False,False,False,False,OK -1 month,,Next service in 18000 km,,Peugeot 1.2 PureTech higher risk if timing belt unclear; no timing info in listing,No info on timing belt replacement; typical 1.2 PureTech risk applies; first registration date missing,5.5,4.0,4.5,medium,4,9,16,16,12,8,7,7,8,79,consider,Reliable and economical Peugeot 208 2018 with low mileage; typical PureTech timing belt risk not addressed; good CritAir 2; well maintained CT OK; manual 5-door suits needs.,Ask for timing belt or chain replacement history; confirm no mechanical issues; clarify seller type and first registration date.,0.85
PEUGEOT_208_essence_68cv_s_3173238953,https://www.leboncoin.fr/ad/voitures/3173238953,PEUGEOT 208 essence 68cv,5750,2018,62000,Essence,Manuelle,,PEUGEOT,208,5.0,5,"A SAISIR PEUGEOT 208 ESSENCE 1.2 PURETECH 68CH 5 portes, 4cv consommation faible. Finition LIKE Octobre 2018 Kilométrage : 62 000 km, Prochaine révision dans 18 000km Aucun frais à prévoir. CT OK (aucun défaut) Prix de vente : 5.750 € Voir moins","PEUGEOT 208 essence 68cv 5 750 € Prix: 5 750 €. Pack Sérénité Année 2018 Kilométrage 62000 km Énergie Essence Boîte de vitesse Manuelle Année: ""2018"". Kilométrage: ""62000 km"". Énergie: ""Essence"". Boîte de vitesse: ""Manuelle"" Le Breuil 71670 Située à Le Breuil 71670.",Peugeot 208,Peugeot,208,Like,2018,,5750,62000,Petrol,Manual,1.2,PureTech 68 hp 4cv,68,4,5,5,2,,,Le Breuil 71670,,False,False,False,False,False,OK no defects,,"Not specified, next revision in 18000 km",,Peugeot 1.2 PureTech without explicit timing belt replacement proof is moderate risk,"No confirmation on timing belt maintenance, no first registration date, no detailed seller type",5.5,4.5,5.0,medium,4,9,15,16,12,8,7,7,8,78,consider,"Good condition Peugeot 208 petrol 2018, moderate risk due to PureTech timing belt uncertainty, fair price, CritAir 2 likely, no major red flags",Confirm timing belt replacement history; Is seller professional or private? Any warranty included? Any accident history?,0.85
Citro_n_c3_aircross_s_3182346152,https://www.leboncoin.fr/ad/voitures/3182346152,Citroën c3 aircross,5700,2018,105800,Essence,Manuelle,,CITROEN,C3 Aircross,5.0,5,Vend Citroën aircross très bon état intérieur. extérieur une rayure sur la portière conducteur et une rayure sur la portière passager aucun frais à prévoir une révision sera faite en garage ainsi que le contrôle pour plus de renseignements me contactez.,"Citroën c3 aircross 5 700 € Prix: 5 700 €. Pack Sérénité Année 2018 Kilométrage 105800 km Énergie Essence Boîte de vitesse Manuelle Année: ""2018"". Kilométrage: ""105800 km"". Énergie: ""Essence"". Boîte de vitesse: ""Manuelle"" Arlay 39140 Située à Arlay 39140.",Citroën C3 Aircross,Citroën,C3 Aircross,,2018,,5700,105800,Essence,Manuelle,,,,,5,5,2,Euro 6,,Arlay 39140,,False,False,False,False,False,recent or will be done,,revision planned,,None known; basic scratches on doors only,No engine specifics or power info; seller type unknown,6.0,4.5,5.1,medium,4,8,18,16,11,8,7,7,8,83,consider,2018 petrol Citroën C3 Aircross in decent shape with regular mileage and reasonable price; no major risks detected but missing detailed engine info; expected Crit'Air 2; seller type unknown.,"Ask for engine version and power, recent maintenance details, and seller status (private or professional).",0.8
