recommendation_score,price_score,horsepower_score,year_score,mileage_score,location_score,seller_score,car_name,price_eur,year,mileage_km,fuel,transmission,seller_type,location,horsepower,doors,critair_estimated,url,source_file,raw_text,sr_text,date_seen
80,22,13,20,20,0,5,OPEL CORSA 1.2 i TURBO 100 CV VENDU A MARCHAND,6000,2020,72700,Essence,Manuelle,Professionnel,Montceau-les-Mines 71300 Le Bois du Verne,100.0,,1,https://www.leboncoin.fr/ad/voitures/3165990559,leboncoin_page5.html,"OPEL CORSA 1.2 i TURBO 100 CV VENDU A MARCHAND 6 000 € Prix: 6 000 €. Pro Vendeur professionnel. · 2020 · 72700 km · Essence · Manuelle Année: ""2020"". Kilométrage: ""72700 km"". Énergie: ""Essence"". Boîte de vitesse: ""Manuelle"" Année 2020 Kilométrage 72700 km Énergie Essence Boîte de vitesse Manuelle Année: ""2020"". Kilométrage: ""72700 km"". Énergie: ""Essence"". Boîte de vitesse: ""Manuelle"" Montceau-les-Mines 71300 Le Bois du Verne Située à Montceau-les-Mines 71300 Le Bois du Verne.","Prix: 6 000 €. Vendeur professionnel. Année: ""2020"". Kilométrage: ""72700 km"". Énergie: ""Essence"". Boîte de vitesse: ""Manuelle"" Année: ""2020"". Kilométrage: ""72700 km"". Énergie: ""Essence"". Boîte de vitesse: ""Manuelle"" Située à Montceau-les-Mines 71300 Le Bois du Verne.",2026-05-07 00:53:06
77,30,15,9,13,5,5,Mercedes classe A 200 156ch de 2013 avec 129 796 kms,4500,2013,129796,Essence,Manuelle,Professionnel,Le Creusot 71200,156.0,,1,https://www.leboncoin.fr/ad/voitures/3191520368,leboncoin_page1.html,"À la une Annonce à la une. Déjà Vu Annonce déjà vue. Mercedes classe A 200 156ch de 2013 avec 129 796 kms 4 500 € Baisse de prix Prix: 4 500 €.. Baisse de prix Pro Vendeur professionnel. · 2013 · 129796 km · Essence · Manuelle Année: ""2013"". Kilométrage: ""129796 km"". Énergie: ""Essence"". Boîte de vitesse: ""Manuelle"" Année 2013 Kilométrage 129796 km Énergie Essence Boîte de vitesse Manuelle Année: ""2013"". Kilométrage: ""129796 km"". Énergie: ""Essence"". Boîte de vitesse: ""Manuelle"" PIECES AUTO'71 Le Creusot 71200 Située à Le Creusot 71200.","Annonce à la une. Annonce déjà vue. Prix: 4 500 €.. Baisse de prix Vendeur professionnel. Année: ""2013"". Kilométrage: ""129796 km"". Énergie: ""Essence"". Boîte de vitesse: ""Manuelle"" Année: ""2013"". Kilométrage: ""129796 km"". Énergie: ""Essence"". Boîte de vitesse: ""Manuelle"" Située à Le Creusot 71200.",2026-05-07 00:53:06
75,30,15,17,8,5,0,Peugeot 3008 1.6 bluehdi 120ch de 2017 avec 148 509 kms,4990,2017,148500,Diesel,Manuelle,,Le Creusot 71200,120.0,,2,https://www.leboncoin.fr/ad/voitures/3183174719,leboncoin_page1.html,"Peugeot 3008 1.6 bluehdi 120ch de 2017 avec 148 509 kms Peugeot 3008 1.6 bluehdi 120ch de 2017 avec 148 509 kms Déjà Vu Annonce déjà vue. Peugeot 3008 1.6 bluehdi 120ch de 2017 avec 148 509 kms 4 990 € Prix: 4 990 €. · 2017 · 148500 km · Diesel · Manuelle Année: ""2017"". Kilométrage: ""148500 km"". Énergie: ""Diesel"". Boîte de vitesse: ""Manuelle"" Le Creusot 71200 Située à Le Creusot 71200.","Annonce déjà vue. Prix: 4 990 €. Année: ""2017"". Kilométrage: ""148500 km"". Énergie: ""Diesel"". Boîte de vitesse: ""Manuelle"" Située à Le Creusot 71200.",2026-05-07 00:53:06
73,30,0,13,20,10,0,Dacia Logan,5000,2015,42000,Essence,Manuelle,,Chalon-sur-Saône 71100,,,1,https://www.leboncoin.fr/ad/voitures/3192378985,leboncoin_page1.html,"Dacia Logan 5 000 € Prix: 5 000 €. Pack Sérénité · 2015 · 42000 km · Essence · Manuelle Année: ""2015"". Kilométrage: ""42000 km"". Énergie: ""Essence"". Boîte de vitesse: ""Manuelle"" Année 2015 Kilométrage 42000 km Énergie Essence Boîte de vitesse Manuelle Année: ""2015"". Kilométrage: ""42000 km"". Énergie: ""Essence"". Boîte de vitesse: ""Manuelle"" Chalon-sur-Saône 71100 Située à Chalon-sur-Saône 71100.","Prix: 5 000 €. Année: ""2015"". Kilométrage: ""42000 km"". Énergie: ""Essence"". Boîte de vitesse: ""Manuelle"" Année: ""2015"". Kilométrage: ""42000 km"". Énergie: ""Essence"". Boîte de vitesse: ""Manuelle"" Située à Chalon-sur-Saône 71100.",2026-05-07 00:53:06
73,30,5,13,20,0,5,A vendrre Opel KARL 1.0 75ch Essentia,4200,2015,54500,Essence,Manuelle,Professionnel,Saint-Marcel 71380,75.0,,1,https://www.leboncoin.fr/ad/voitures/3166990636,leboncoin_page5.html,"A vendrre Opel KARL 1.0 75ch Essentia 4 200 € Prix: 4 200 €. Pro Vendeur professionnel. · 2015 · 54500 km · Essence · Manuelle Année: ""2015"". Kilométrage: ""54500 km"". Énergie: ""Essence"". Boîte de vitesse: ""Manuelle"" Année 2015 Kilométrage 54500 km Énergie Essence Boîte de vitesse Manuelle Année: ""2015"". Kilométrage: ""54500 km"". Énergie: ""Essence"". Boîte de vitesse: ""Manuelle"" Saint-Marcel 71380 Située à Saint-Marcel 71380.","Prix: 4 200 €. Vendeur professionnel. Année: ""2015"". Kilométrage: ""54500 km"". Énergie: ""Essence"". Boîte de vitesse: ""Manuelle"" Année: ""2015"". Kilométrage: ""54500 km"". Énergie: ""Essence"". Boîte de vitesse: ""Manuelle"" Située à Saint-Marcel 71380.",2026-05-07 00:53:06
70,30,13,9,8,5,5,FORD Focus III Hatchback 1.0 SCTi EcoBoost 100 cv (1er MAIN),4990,2013,155529,Essence,Manuelle,Professionnel,Mâcon 71000,100.0,,1,https://www.leboncoin.fr/ad/voitures/3020800330,leboncoin_page5.html,"Déjà Vu Annonce déjà vue. FORD Focus III Hatchback 1.0 SCTi EcoBoost 100 cv (1er MAIN) 4 990 € Baisse de prix Prix: 4 990 €.. Baisse de prix Pro Vendeur professionnel. · 2013 · 155529 km · Essence · Manuelle Année: ""2013"". Kilométrage: ""155529 km"". Énergie: ""Essence"". Boîte de vitesse: ""Manuelle"" Année 2013 Kilométrage 155529 km Énergie Essence Boîte de vitesse Manuelle Année: ""2013"". Kilométrage: ""155529 km"". Énergie: ""Essence"". Boîte de vitesse: ""Manuelle"" Mâcon 71000 Située à Mâcon 71000.","Annonce déjà vue. Prix: 4 990 €.. Baisse de prix Vendeur professionnel. Année: ""2013"". Kilométrage: ""155529 km"". Énergie: ""Essence"". Boîte de vitesse: ""Manuelle"" Année: ""2013"". Kilométrage: ""155529 km"". Énergie: ""Essence"". Boîte de vitesse: ""Manuelle"" Située à Mâcon 71000.",2026-05-07 00:53:06
69,30,0,9,20,10,0,Toyota Aygo 1.0 VVT-i 50000km,4990,2012,54765,Essence,Manuelle,,Chalon-sur-Saône 71100,,,1,https://www.leboncoin.fr/ad/voitures/3179955743,leboncoin_page3.html,"Déjà Vu Annonce déjà vue. Toyota Aygo 1.0 VVT-i 50000km 4 990 € Prix: 4 990 €. Pack Sérénité · 2012 · 54765 km · Essence · Manuelle Année: ""2012"". Kilométrage: ""54765 km"". Énergie: ""Essence"". Boîte de vitesse: ""Manuelle"" Année 2012 Kilométrage 54765 km Énergie Essence Boîte de vitesse Manuelle Année: ""2012"". Kilométrage: ""54765 km"". Énergie: ""Essence"". Boîte de vitesse: ""Manuelle"" Chalon-sur-Saône 71100 Située à Chalon-sur-Saône 71100.","Annonce déjà vue. Prix: 4 990 €. Année: ""2012"". Kilométrage: ""54765 km"". Énergie: ""Essence"". Boîte de vitesse: ""Manuelle"" Année: ""2012"". Kilométrage: ""54765 km"". Énergie: ""Essence"". Boîte de vitesse: ""Manuelle"" Située à Chalon-sur-Saône 71100.",2026-05-07 00:53:06
68,30,0,13,20,0,5,Peugeot 208 (pour Professionnels),3900,2015,57300,Essence,Manuelle,Professionnel,Tournus 71700,,,1,https://www.leboncoin.fr/ad/voitures/3192340095,leboncoin_page1.html,"Peugeot 208 (pour Professionnels) 3 900 € Prix: 3 900 €. Pack Sérénité · 2015 · 57300 km · Essence · Manuelle Année: ""2015"". Kilométrage: ""57300 km"". Énergie: ""Essence"". Boîte de vitesse: ""Manuelle"" Année 2015 Kilométrage 57300 km Énergie Essence Boîte de vitesse Manuelle Année: ""2015"". Kilométrage: ""57300 km"". Énergie: ""Essence"". Boîte de vitesse: ""Manuelle"" Tournus 71700 Située à Tournus 71700.","Prix: 3 900 €. Année: ""2015"". Kilométrage: ""57300 km"". Énergie: ""Essence"". Boîte de vitesse: ""Manuelle"" Année: ""2015"". Kilométrage: ""57300 km"". Énergie: ""Essence"". Boîte de vitesse: ""Manuelle"" Située à Tournus 71700.",2026-05-07 00:53:06
68,30,0,13,20,0,5,FIAT PANDA 1.2 i 69 cv Easy,4980,2015,80000,Essence,Manuelle,Professionnel,Saint-Loup-de-Varennes 71240,69.0,,1,https://www.leboncoin.fr/ad/voitures/3188861642,leboncoin_page1.html,"FIAT PANDA 1.2 i 69 cv Easy 4 980 € Prix: 4 980 €. Pro Vendeur professionnel. · 2015 · 80000 km · Essence · Manuelle Année: ""2015"". Kilométrage: ""80000 km"". Énergie: ""Essence"". Boîte de vitesse: ""Manuelle"" Année 2015 Kilométrage 80000 km Énergie Essence Boîte de vitesse Manuelle Année: ""2015"". Kilométrage: ""80000 km"". Énergie: ""Essence"". Boîte de vitesse: ""Manuelle"" CAR UP Saint-Loup-de-Varennes 71240 Située à Saint-Loup-de-Varennes 71240.","Prix: 4 980 €. Vendeur professionnel. Année: ""2015"". Kilométrage: ""80000 km"". Énergie: ""Essence"". Boîte de vitesse: ""Manuelle"" Année: ""2015"". Kilométrage: ""80000 km"". Énergie: ""Essence"". Boîte de vitesse: ""Manuelle"" Située à Saint-Loup-de-Varennes 71240.",2026-05-07 00:53:06
68,30,0,13,20,5,0,Renault Zoe avec batterie rachetée,4900,2014,65200,Électrique,Automatique,,Mâcon 71000,,,0,https://www.leboncoin.fr/ad/voitures/3177686788,leboncoin_page2.html,"Renault Zoe avec batterie rachetée 4 900 € Prix: 4 900 €. Paiement sécurisé · 2014 · 65200 km · Électrique · Automatique Année: ""2014"". Kilométrage: ""65200 km"". Énergie: ""Électrique"". Boîte de vitesse: ""Automatique"" Année 2014 Kilométrage 65200 km Énergie Électrique Boîte de vitesse Automatique Année: ""2014"". Kilométrage: ""65200 km"". Énergie: ""Électrique"". Boîte de vitesse: ""Automatique"" Mâcon 71000 Située à Mâcon 71000.","Prix: 4 900 €. Année: ""2014"". Kilométrage: ""65200 km"". Énergie: ""Électrique"". Boîte de vitesse: ""Automatique"" Année: ""2014"". Kilométrage: ""65200 km"". Énergie: ""Électrique"". Boîte de vitesse: ""Automatique"" Située à Mâcon 71000.",2026-05-07 00:53:06
